text,category,label_id
hoo mammokka police vesham aaha anthas,Positive,0
Oru rekshayum illa...kidilam kannu nananjupoyi,Positive,0
Ikka waiting.........,Positive,0
Raju Ettante Oro Shorttum Ijathi ppwli,Positive,0
Ettan fansil netti poya aarenkilum undo? #maduraraja#waiting #,Positive,0
Waiting to see mammukaas undaa 🤣,not-malayalam,2
Last aa chadi adi.... Uff. Frm an ettan fan,Positive,0
1 day achu 5 million views kooda varla,unknown_state,1
heavy mass,Positive,0
I a m a katta mammookka fan,unknown_state,1
Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.,Mixed_feelings,4
Nte ponno oru raksha Illa Ennaaa Trailer,Positive,0
Mammookka fans like adi. Love u ikka,Positive,0
Dislike adikan keri like adichath njaan mathramaano?,unknown_state,1
Enada Oru English comment kuda kanom,unknown_state,1
Oh mass o mass laletta katta waiting....Bgm,Positive,0
Ith powlichu vaariyitte pooku....,Positive,0
7.3k dislike adichavanmaarod onne parayanollu...... OMKV,Negative,3
Malayali friends lalettan padam epdi irukku,not-malayalam,2
June 16 Keralakara ilakki marikkum ikka,Positive,0
Ithu Verum unda alla Machinegun Nirachum undayulla machinegun,unknown_state,1
Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni,Mixed_feelings,4
Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa,Positive,0
vaada a otta vili athu mathi .athu maathram mathi,Positive,0
Mammooka fan - kannadiga from Dubai,not-malayalam,2
Babynet oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like,unknown_state,1
#mamangam uff ijjathi trailer oru rakshem illa poli,Positive,0
Nalla polippan school life kanam katta waiting for you Mammukka,Positive,0
Trailer kande oru pidium illatha aralum,unknown_state,1
Feeling sad am studying in punjab ivde release aakuvo,Negative,3
Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??,unknown_state,1
Tamilnadu thala fans sarpakka movie hit panna valthukal,not-malayalam,2
Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree,unknown_state,1
Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne,Mixed_feelings,4
Thirunavayile arenkilum undo Trailer like cheyan marakanda,unknown_state,1
INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer,Positive,0
movie kandathinu shesham onum kudi trailer kanan vanaver like,unknown_state,1
Mammoka fans and laletan fans Katta waiting,unknown_state,1
Eee eid ikka ang edutthu ennu paranjekk,Positive,0
Ahaa hahaha ha.... Nte ponnikkka mutheeee,Positive,0
Fan show set...arokke fan showkk pokunnu und,unknown_state,1
Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....,Positive,0
Ithin dislike addikunavar lokka tholvikallayirkkum,Positive,0
Visit on link Vov yar so sad made me crying so sad omng very sad must watch Osmmmosmmmmmmmmmmmmmmmmmmmmm,not-malayalam,2
Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum,unknown_state,1
FDFS LOCKED LALETTAN RAJUETTAN uff ejathi,Positive,0
Feel good movie 2019 le best movie aavum ithu urappu,Positive,0
1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,Negative,3
Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan,unknown_state,1
2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa,Positive,0
Eante ponnooo romanjam vannu poeonnum parayanilla,Positive,0
Eth oru onnonnara padam aavum enn urappullavar like adi,Positive,0
Surajettan kunjunni mash ayi abhinayichal powlikku.m,Positive,0
Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta,Positive,0
Raaza..u Do,unknown_state,1
Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.,Positive,0
Lalettan fans full support und makkaleee......,Positive,0
Keralathinu purathu ninnulla anyaphashakar adi like,unknown_state,1
All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..,unknown_state,1
Adhikam hype venda,Negative,3
Ithu kidukkum,Positive,0
am a lalettan fan... but lalettane arum pokendaa... director prithviannuu,unknown_state,1
4.3k dislikes what a bullshit man's,not-malayalam,2
Padam 1 st day kaanum athu urappu.,Positive,0
masss effect,Positive,0
من متى أعرفك اصلا حتى انساك,not-malayalam,2
Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power,Positive,0
Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...,Positive,0
Costumes Irshad khan Cherukunnuijj Poli mutheeee,Positive,0
Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle,Mixed_feelings,4
aaa last bhakam marana mass #mammookka,Positive,0
Happy Birthday Mammookka,not-malayalam,2
mammokka thug life mashup,unknown_state,1
Big B 2 pole und,Mixed_feelings,4
LALETTAAA MUTHEE POLICHU,Positive,0
Ee pennu evide poyaalum ithaanallo avastha..,unknown_state,1
Edhu kondu prethiraj neruthiyal Kollam,Positive,0
Ithipo kadha muzhuvan undalo ithilu ? ?,unknown_state,1
Mammotiyude look divasam kudunthorum kodi varikayannallo,Positive,0
Last black dress sredhichavar ivide like,unknown_state,1
Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha,Negative,3
Padam pottum ennu urapulavarku evide like adikam,unknown_state,1
malayala sinimakkoru puthiya charithram pirakkatte !,Positive,0
Koora padam,Negative,3
Superb trailer I have ever seen,not-malayalam,2
3 millon views 208 k likes,not-malayalam,2
Ennalum ente Idivettu suguna ninne ithilu kandillalo,Negative,3
Which trailer you like more. 1. #Mamangam 2. #Panipat,not-malayalam,2
1.33 - 1.40 mammuka rock's 🤘...,not-malayalam,2
Oru mikacha thriling movie aavum,Positive,0
Undakku shesham mammookayude adutha natural movie,Positive,0
Jayasurya chyuna a ella characters um pwoliya... Shaji pappen,Positive,0
Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum,Positive,0
